listing_id,city,price_eur,log_price_eur,neighbourhood_cleansed,neighbourhood_group,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,property_type,property_group,room_type,accommodates,bedrooms,beds,bathrooms,bathroom_type,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_days,calendar_available_days,calendar_unavailable_days,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,raw_review_total_reviews,raw_reviews_last_6m
51558636,Madrid,38.0,3.6635616461296463,Embajadores,Centro,40.40998,-3.70537,0.7699,1,1878,Shared room,Room,Shared room,1,1.0,,1.0,Shared,13,1,0,1,1,0,0,1,1,1,0,2025-09-15,2021-07-21,within an hour,0.98,0.97,0.0,13.0,14.0,1.0,1.0,1,1125,1.0,30,58,88,310,1131,150,9,169,2021-08-20,2025-08-27,4.8,4.85,4.75,4.86,4.81,4.85,4.77,1.0,13,0,8,5,22.8,1517.0,19.0,1468.0,1,1,1,365,310,55,0.1506849315068493,0.0888888888888888,0.0,0.4891304347826087,0.0217391304347826,0.1758241758241758,0.0326086956521739,0.3369565217391304,0.0555555555555555,0.1494252873563218,0.1538461538461538,1131.0,57.0
3397465,Madrid,147.0,4.997212273764115,Universidad,Centro,40.42162,-3.70186,0.5606,1,1566,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,1.0,1.0,Standard,18,1,1,1,0,0,0,1,0,1,0,2025-09-15,2013-08-13,within an hour,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2,10,1.0,0,3,12,93,1036,90,4,112,2014-06-28,2025-08-28,4.9,4.95,4.9,4.96,4.97,4.93,4.87,1.0,1,1,0,0,7.58,4416.0,18.0,4079.0,1,2,0,365,93,272,0.7452054794520548,0.2555555555555555,1.0,1.0,0.717391304347826,0.934065934065934,0.8586956521739131,1.0,0.1777777777777777,0.7432950191570882,0.75,1036.0,39.0
38036504,Madrid,30.0,3.4339872044851463,Embajadores,Centro,40.41301,-3.70721,0.5108,1,1878,Private room in rental unit,Apartment/condo,Private room,1,1.0,1.0,1.0,Shared,21,1,1,1,1,0,0,0,0,1,0,2025-09-15,2019-08-24,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,15,1.0,0,3,14,226,806,162,11,176,2019-09-02,2025-09-14,4.85,4.9,4.8,4.96,4.97,4.97,4.89,1.0,1,0,1,0,10.96,2214.0,1.0,2204.0,1,1,0,365,226,139,0.3808219178082191,0.3333333333333333,0.1868131868131868,0.217391304347826,0.782608695652174,0.7582417582417582,0.25,0.0434782608695652,0.4777777777777778,0.367816091954023,0.4134615384615384,806.0,74.0
46416127,Madrid,34.0,3.555348061489413,Embajadores,Centro,40.41126,-3.70409,0.6165,1,1878,Shared room in hostel,Guesthouse/hostel,Shared room,1,1.0,10.0,2.5,Shared,46,1,1,1,1,0,0,1,0,1,1,2025-09-15,2015-07-10,within an hour,0.99,1.0,1.0,6.0,22.0,1.0,1.0,1,8,1.0,21,51,81,355,930,590,24,423,2020-11-28,2025-08-31,4.81,4.86,4.86,4.9,4.87,4.85,4.81,1.0,6,0,4,2,15.92,3720.0,15.0,1737.0,1,1,1,365,355,10,0.0273972602739726,0.0111111111111111,0.0,0.0869565217391304,0.0108695652173913,0.0989010989010989,0.0,0.0,0.0111111111111111,0.0229885057471264,0.0384615384615384,930.0,287.0
709208,Madrid,97.0,4.584967478670572,Sol,Centro,40.41697,-3.70732,0.2986,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,1.0,1.5,Standard,40,1,1,1,1,0,1,1,1,1,0,2025-09-15,2012-09-23,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1125,1.0,1,23,53,323,862,93,5,81,2012-10-11,2025-09-12,4.82,4.86,4.82,4.92,4.91,4.97,4.8,1.0,1,1,0,0,5.48,4740.0,3.0,4719.0,1,2,0,365,323,42,0.1150684931506849,0.0222222222222222,0.0219780219780219,0.1739130434782608,0.2391304347826087,0.4065934065934066,0.0217391304347826,0.0,0.0333333333333333,0.1187739463601532,0.1057692307692307,862.0,49.0
24178248,Madrid,258.0,5.556828061699537,Sol,Centro,40.41821,-3.7047,0.1743,1,994,Entire rental unit,Apartment/condo,Entire home/apt,6,3.0,4.0,3.0,Standard,59,1,1,1,1,1,1,1,1,1,1,2025-09-15,2017-06-15,within an hour,1.0,1.0,1.0,3.0,7.0,1.0,1.0,1,30,1.0,0,3,8,177,647,110,9,105,2018-04-09,2025-09-14,4.92,4.96,4.93,4.87,4.89,4.94,4.91,1.0,3,3,0,0,7.14,3014.0,1.0,2715.0,1,1,0,365,177,188,0.5150684931506849,0.4333333333333333,0.4395604395604395,0.2826086956521739,0.9021739130434784,0.8461538461538461,0.4565217391304347,0.217391304347826,0.5444444444444444,0.4980842911877394,0.5576923076923077,647.0,55.0
2650925,Madrid,168.0,5.1298987149230735,Sol,Centro,40.415714263916016,-3.7058510780334473,0.2115,1,994,Entire rental unit,Apartment/condo,Entire home/apt,3,1.0,2.0,1.0,Standard,43,1,1,1,1,0,1,1,1,1,1,2025-09-15,2014-03-26,within an hour,1.0,0.99,1.0,5.0,5.0,1.0,1.0,2,15,1.0,1,11,28,208,710,47,7,104,2014-07-11,2025-09-01,4.89,4.93,4.95,4.86,4.9,4.96,4.88,0.0,5,5,0,0,5.21,4191.0,14.0,4070.0,1,2,1,365,208,157,0.4301369863013699,0.0,0.2087912087912088,1.0,0.5,0.7912087912087912,0.0,0.8804347826086957,0.0444444444444444,0.425287356321839,0.4423076923076923,710.0,16.0
21437216,Madrid,101.0,4.624972813284271,Embajadores,Centro,40.413376,-3.702265,0.4023,1,1878,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,45,1,1,1,1,1,1,1,1,1,0,2025-09-15,2017-10-20,within an hour,1.0,0.99,1.0,3.0,3.0,1.0,1.0,3,180,1.0,1,1,11,97,556,92,7,86,2017-10-30,2025-09-10,4.99,4.99,4.99,4.98,4.99,4.99,4.96,0.0,3,3,0,0,5.8,2887.0,5.0,2872.0,1,3,0,365,97,268,0.7342465753424657,0.7222222222222222,0.4945054945054945,1.0,0.717391304347826,0.967032967032967,0.6195652173913043,0.8804347826086957,0.4666666666666667,0.7241379310344828,0.7596153846153846,556.0,45.0
761159,Madrid,90.0,4.51085950651685,Sol,Centro,40.41399,-3.70776,0.4583,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,37,1,1,1,1,0,1,0,0,1,0,2025-09-15,2012-10-30,within an hour,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2,1125,1.0,2,4,5,6,662,73,0,64,2012-11-05,2025-07-26,4.93,4.94,4.96,4.97,4.97,4.98,4.93,1.0,2,2,0,0,4.23,4703.0,51.0,4646.0,1,2,0,365,6,359,0.9835616438356164,0.9888888888888888,1.0,1.0,0.9456521739130436,0.945054945054945,0.9891304347826086,1.0,1.0,0.992337164750958,0.9615384615384616,662.0,34.0
12064892,Madrid,72.0,4.290459441148391,Palacio,Centro,40.41434,-3.71244,0.7809,1,1354,Private room in guesthouse,House/villa,Private room,3,1.0,2.0,1.0,Private,32,1,0,1,0,1,1,1,1,1,0,2025-09-15,2016-03-27,within an hour,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2,1125,1.0,1,3,12,197,804,88,6,55,2016-05-15,2025-08-29,4.91,4.91,4.93,4.97,4.97,4.98,4.89,1.0,2,0,2,0,7.07,3459.0,17.0,3393.0,1,2,0,365,197,168,0.4602739726027397,0.3333333333333333,0.3186813186813186,0.358695652173913,0.8260869565217391,0.7912087912087912,0.3043478260869565,0.2934782608695652,0.4555555555555555,0.425287356321839,0.5480769230769231,804.0,46.0
2652829,Madrid,174.0,5.1647859739235145,Sol,Centro,40.415714263916016,-3.7058510780334473,0.2115,1,994,Entire rental unit,Apartment/condo,Entire home/apt,3,1.0,2.0,1.0,Standard,39,1,1,1,1,0,1,1,1,1,1,2025-09-15,2014-03-26,within an hour,1.0,0.99,1.0,5.0,5.0,1.0,1.0,2,15,1.0,1,13,33,205,689,47,6,88,2014-06-02,2025-09-08,4.87,4.94,4.93,4.87,4.87,4.95,4.86,0.0,5,5,0,0,5.01,4191.0,7.0,4116.0,1,2,1,365,205,160,0.4383561643835616,0.0111111111111111,0.2087912087912088,1.0,0.5217391304347826,0.7142857142857143,0.0,0.8804347826086957,0.1555555555555555,0.4367816091954023,0.4423076923076923,689.0,16.0
7110133,Madrid,239.0,5.480638923341991,Sol,Centro,40.41587,-3.70702,0.2916,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,2.0,2.0,1.0,Standard,39,1,1,1,1,1,1,0,1,1,0,2025-09-15,2014-05-16,within an hour,1.0,0.99,1.0,1.0,1.0,1.0,1.0,2,365,1.0,5,16,40,82,654,69,4,83,2015-10-12,2025-09-08,4.93,4.93,4.92,4.95,4.97,4.97,4.9,0.0,1,1,0,0,5.41,4140.0,7.0,3619.0,1,2,0,365,82,283,0.7753424657534247,0.6555555555555556,1.0,0.967391304347826,0.4782608695652174,0.6923076923076923,1.0,1.0,0.4,0.7816091954022989,0.7596153846153846,654.0,36.0
3584830,Madrid,166.0,5.117993812416755,Sol,Centro,40.41579055786133,-3.7060329914093018,0.2199,1,994,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,1.0,1.0,Standard,35,1,1,1,1,0,1,1,1,1,1,2025-09-15,2014-03-26,within an hour,1.0,0.99,1.0,5.0,5.0,1.0,1.0,2,15,1.0,4,18,46,223,683,47,9,91,2014-08-26,2025-09-11,4.89,4.91,4.92,4.89,4.9,4.97,4.83,1.0,5,5,0,0,5.07,4191.0,4.0,4034.0,1,2,1,365,223,142,0.3890410958904109,0.0,0.2417582417582417,0.9891304347826086,0.3152173913043478,0.6373626373626373,0.0326086956521739,0.8804347826086957,0.0,0.3793103448275862,0.4134615384615384,683.0,18.0
755587,Madrid,63.0,4.158883083359672,Palacio,Centro,40.41497,-3.70853,0.4492,1,1354,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,40,1,1,1,1,0,1,1,0,1,0,2025-09-15,2012-10-17,,,1.0,0.0,2.0,2.0,1.0,1.0,3,365,1.0,0,0,0,0,579,44,0,54,2012-12-11,2025-06-27,4.91,4.89,4.95,4.96,4.98,4.97,4.91,1.0,2,2,0,0,3.73,4716.0,80.0,4581.0,1,3,0,365,0,365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,579.0,22.0
524003,Madrid,93.0,4.543294782270004,Embajadores,Centro,40.41327,-3.70223,0.4144,1,1878,Private room in rental unit,Apartment/condo,Private room,2,1.0,1.0,1.0,Private,24,1,0,1,0,1,1,0,1,1,0,2025-09-15,2012-06-07,within a few hours,1.0,0.9,1.0,1.0,1.0,1.0,1.0,2,1125,1.0,3,3,3,255,609,54,1,56,2012-10-01,2025-09-13,4.92,4.94,4.95,4.92,4.97,4.97,4.91,0.0,1,0,1,0,3.86,4848.0,2.0,4730.0,1,2,0,365,255,110,0.3013698630136986,0.0555555555555555,0.0,0.1739130434782608,0.967391304347826,0.8131868131868132,0.0,0.0,0.4,0.3065134099616858,0.2884615384615384,609.0,26.0
751530,Madrid,63.0,4.158883083359672,Sol,Centro,40.41429,-3.70649,0.3602,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,34,1,1,1,1,0,1,1,0,1,0,2025-09-15,2012-10-17,,,1.0,0.0,2.0,2.0,1.0,1.0,2,260,1.0,0,0,0,0,622,49,0,48,2012-11-05,2025-06-26,4.87,4.85,4.93,4.94,4.96,4.97,4.85,1.0,2,2,0,0,3.97,4716.0,81.0,4616.0,1,2,0,365,0,365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,622.0,22.0
45672231,Madrid,200.0,5.303304908059076,Sol,Centro,40.41607,-3.70658,0.249,1,994,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,2.0,1.0,Standard,39,1,1,1,0,1,1,1,0,1,1,2025-09-15,2020-09-14,within an hour,1.0,0.99,1.0,4.0,4.0,1.0,1.0,1,1125,1.0,3,17,38,297,631,145,11,151,2020-11-07,2025-09-10,4.91,4.92,4.93,4.92,4.97,4.97,4.88,0.0,4,4,0,0,10.67,1827.0,5.0,1768.0,1,1,0,365,297,68,0.1863013698630137,0.1333333333333333,0.0,0.1739130434782608,0.4347826086956521,0.5714285714285714,0.0326086956521739,0.0,0.1444444444444444,0.2030651340996168,0.1442307692307692,631.0,73.0
2452815,Madrid,155.0,5.049856007249537,Sol,Centro,40.41677,-3.70241,0.1177,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,58,1,1,1,1,1,1,1,1,1,1,2025-09-15,2013-02-05,within an hour,1.0,1.0,0.0,14.0,14.0,1.0,1.0,1,1125,1.0,12,42,70,119,863,66,5,86,2014-03-02,2025-09-09,4.72,4.78,4.76,4.84,4.89,4.9,4.7,1.0,14,13,1,0,6.14,4605.0,6.0,4209.0,1,1,1,365,119,246,0.673972602739726,0.6555555555555556,1.0,0.967391304347826,0.0760869565217391,0.3736263736263736,1.0,1.0,0.3111111111111111,0.6704980842911877,0.6826923076923077,863.0,32.0
9385154,Madrid,196.0,5.2832037287379885,Sol,Centro,40.4161,-3.70611,0.2105,1,994,Entire condo,Apartment/condo,Entire home/apt,4,2.0,3.0,1.0,Standard,35,1,1,1,1,0,1,1,0,1,0,2025-09-15,2015-10-25,within an hour,1.0,0.98,1.0,1.0,1.0,1.0,1.0,2,60,1.0,4,8,26,168,672,83,2,79,2015-11-23,2025-09-01,4.84,4.92,4.79,4.96,4.97,5.0,4.86,1.0,1,1,0,0,5.62,3613.0,14.0,3570.0,1,2,0,365,168,197,0.5397260273972603,0.1777777777777777,0.2857142857142857,0.9782608695652174,0.7065217391304348,0.8021978021978022,0.1413043478260869,0.8804347826086957,0.3333333333333333,0.5134099616858238,0.6057692307692307,672.0,42.0
3042518,Madrid,67.0,4.219507705176107,Sol,Centro,40.41387,-3.70783,0.4718,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,39,1,1,1,1,0,1,1,0,1,0,2025-09-15,2012-10-30,within an hour,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2,1125,1.0,0,0,0,0,600,62,0,69,2014-05-25,2025-07-19,4.9,4.93,4.92,4.98,4.97,4.98,4.87,1.0,2,2,0,0,4.36,4703.0,58.0,4073.0,1,2,0,365,0,365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,23.0
1083321019696422925,Madrid,67.0,4.219507705176107,Sol,Centro,40.4169134906932,-3.703906495078316,0.0155,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,2.0,3.0,2.0,Standard,9,1,1,1,1,0,1,0,0,1,0,2025-09-15,2021-06-30,within an hour,0.93,0.91,0.0,2.0,6.0,1.0,1.0,1,1125,1.0,8,23,53,156,3,1,1,2,2024-06-09,2025-08-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2,2,0,0,0.19,1538.0,19.0,444.0,1,1,0,365,156,209,0.5726027397260274,0.0333333333333333,1.0,0.9565217391304348,0.2934782608695652,0.5604395604395604,0.6630434782608695,1.0,0.0555555555555555,0.5708812260536399,0.5769230769230769,3.0,1.0
21628332,Madrid,46.0,3.8501476017100575,Embajadores,Centro,40.411549,-3.697992,0.7633,1,1878,Private room in rental unit,Apartment/condo,Private room,2,1.0,1.0,1.0,Private,57,1,1,1,1,1,1,1,1,1,1,2025-09-15,2015-12-15,within an hour,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8,1.0,0,2,6,43,582,115,10,116,2017-11-13,2025-09-12,4.94,4.94,4.96,4.96,4.95,4.97,4.92,0.0,1,0,1,0,6.1,3562.0,3.0,2860.0,1,1,0,365,43,322,0.8821917808219178,0.6666666666666666,1.0,1.0,0.8586956521739131,0.967032967032967,1.0,1.0,0.5555555555555556,0.8850574712643678,0.875,582.0,59.0
925250,Madrid,68.0,4.23410650459726,Sol,Centro,40.41538,-3.70351,0.1598,1,994,Private room in rental unit,Apartment/condo,Private room,2,1.0,1.0,1.0,Private,58,1,1,1,1,1,1,1,1,1,1,2025-09-15,2013-02-05,within an hour,1.0,1.0,0.0,14.0,14.0,1.0,1.0,1,1125,1.0,1,15,42,91,764,98,9,89,2013-04-23,2025-09-14,4.7,4.73,4.68,4.8,4.83,4.91,4.68,1.0,14,13,1,0,5.06,4605.0,1.0,4527.0,1,1,1,365,91,274,0.7506849315068493,0.6555555555555556,1.0,0.9891304347826086,0.358695652173913,0.6813186813186813,1.0,1.0,0.3111111111111111,0.7471264367816092,0.7596153846153846,764.0,55.0
3306584,Madrid,140.0,4.948759890378168,Justicia,Centro,40.41995,-3.7005,0.448,1,861,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,2.0,1.0,Standard,22,1,1,1,1,0,1,0,1,1,0,2025-09-15,2014-06-12,within an hour,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2,1125,1.0,3,7,9,83,621,81,6,87,2014-07-30,2025-09-09,4.93,4.91,4.94,4.95,4.96,4.94,4.9,1.0,1,1,0,0,4.58,4113.0,6.0,4059.0,1,2,0,365,83,282,0.7726027397260274,0.8111111111111111,0.7472527472527473,0.6847826086956522,0.8478260869565217,0.8131868131868132,0.9347826086956522,0.5978260869565217,0.7444444444444445,0.7586206896551724,0.8076923076923077,621.0,39.0
812226520348245983,Madrid,24.0,3.218875824868201,Sol,Centro,40.41744667556158,-3.703695807011644,0.0724,1,994,Private room in rental unit,Apartment/condo,Private room,2,1.0,1.0,3.0,Shared,16,1,0,0,0,0,0,0,0,1,1,2025-09-15,2021-09-15,within an hour,0.99,1.0,0.0,16.0,16.0,1.0,1.0,2,16,1.0,7,14,35,35,224,104,4,106,2023-09-03,2025-09-10,4.84,4.91,4.84,4.95,4.88,4.99,4.88,0.0,16,3,11,2,9.03,1461.0,5.0,738.0,1,2,1,365,35,330,0.9041095890410958,1.0,1.0,0.9891304347826086,0.6304347826086957,0.7362637362637363,1.0,1.0,0.8777777777777778,0.9233716475095786,0.8557692307692307,224.0,52.0
557644428881616819,Madrid,187.0,5.236441962829949,Sol,Centro,40.41565,-3.70655,0.2656,1,994,Entire rental unit,Apartment/condo,Entire home/apt,6,2.0,3.0,1.5,Standard,45,1,1,1,1,0,1,1,0,1,0,2025-09-15,2019-07-12,within an hour,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1,365,1.0,0,6,10,120,475,138,15,128,2022-02-20,2025-09-14,4.96,4.94,4.97,4.94,4.98,4.95,4.92,1.0,2,2,0,0,10.93,2257.0,1.0,1302.0,1,1,0,365,120,245,0.6712328767123288,0.4111111111111111,0.3736263736263736,1.0,0.8913043478260869,0.912087912087912,0.4021739130434782,0.7391304347826086,0.6333333333333333,0.6666666666666666,0.6826923076923077,475.0,79.0
12510995,Madrid,165.0,5.111987788356544,Sol,Centro,40.41891098022461,-3.7022650241851807,0.2683,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,1.0,1.0,1.0,Standard,51,1,1,1,0,1,1,1,1,1,0,2025-09-15,2016-04-18,within an hour,1.0,0.99,1.0,6.0,12.0,1.0,1.0,2,1125,1.0,14,36,63,124,580,52,0,71,2016-05-01,2025-07-13,4.89,4.93,4.93,4.91,4.94,4.94,4.88,0.0,5,5,0,0,5.08,3437.0,64.0,3360.0,1,2,1,365,124,241,0.6602739726027397,0.5,1.0,0.9347826086956522,0.2065217391304347,0.4505494505494505,0.8586956521739131,1.0,0.3222222222222222,0.6628352490421456,0.6538461538461539,580.0,22.0
15652156,Madrid,152.0,5.030437921392435,Sol,Centro,40.41502152012279,-3.7074185290814974,0.3646,1,994,Entire rental unit,Apartment/condo,Entire home/apt,4,2.0,2.0,2.0,Standard,37,1,1,1,1,0,1,1,0,1,0,2025-09-15,2016-08-05,within an hour,1.0,1.0,,3.0,3.0,1.0,1.0,1,31,1.0,0,3,15,150,504,105,6,104,2016-12-07,2025-09-10,4.96,4.94,4.98,4.95,4.99,4.98,4.93,1.0,1,1,0,0,4.72,3328.0,5.0,3199.0,1,1,0,365,150,215,0.589041095890411,0.2666666666666666,0.2527472527472527,1.0,0.8260869565217391,0.912087912087912,0.3152173913043478,0.6847826086956522,0.4444444444444444,0.578544061302682,0.6153846153846154,504.0,51.0
44697269,Madrid,100.0,4.61512051684126,Universidad,Centro,40.42104,-3.70218,0.491,1,1566,Private room in bed and breakfast,Guesthouse/hostel,Private room,2,1.0,1.0,1.0,Private,29,1,0,1,0,0,1,0,0,1,0,2025-09-15,2013-07-30,within an hour,1.0,0.97,1.0,5.0,8.0,1.0,1.0,1,1125,1.0,6,23,48,125,776,213,26,163,2020-12-04,2025-09-10,4.83,4.89,4.84,4.92,4.91,4.93,4.78,0.0,5,0,5,0,13.33,4430.0,5.0,1741.0,1,1,1,365,125,240,0.6575342465753424,0.3444444444444444,1.0,0.9891304347826086,0.2934782608695652,0.6153846153846154,1.0,1.0,0.0,0.6551724137931034,0.6634615384615384,776.0,120.0
21732036,Madrid,194.0,5.272999558563747,Sol,Centro,40.41554,-3.70692,0.299,1,994,Entire rental unit,Apartment/condo,Entire home/apt,6,2.0,2.0,2.0,Standard,45,1,1,1,1,1,1,1,1,1,1,2025-09-15,2017-11-11,within an hour,1.0,1.0,1.0,8.0,8.0,1.0,1.0,2,360,1.0,1,4,15,69,525,78,4,86,2018-01-03,2025-08-28,4.94,4.94,4.92,4.88,4.94,4.97,4.88,0.0,8,8,0,0,5.6,2865.0,18.0,2794.0,1,2,1,365,69,296,0.810958904109589,0.4444444444444444,0.989010989010989,1.0,0.8043478260869565,0.8901098901098901,0.8478260869565217,1.0,0.5,0.8007662835249042,0.8365384615384616,525.0,40.0
45503675,Madrid,188.0,5.241747015059643,Sol,Centro,40.41707,-3.70815,0.3695,1,994,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,2.0,1.0,Standard,40,1,1,1,0,1,1,1,0,1,1,2025-09-15,2020-09-14,within an hour,1.0,0.99,1.0,4.0,4.0,1.0,1.0,1,1125,1.0,1,12,31,281,585,129,11,133,2020-09-26,2025-09-14,4.93,4.92,4.92,4.93,4.98,4.99,4.87,0.0,4,4,0,0,9.66,1827.0,1.0,1814.0,1,1,0,365,281,84,0.2301369863013698,0.2111111111111111,0.0329670329670329,0.2065217391304347,0.4673913043478261,0.6373626373626373,0.0978260869565217,0.0434782608695652,0.1444444444444444,0.2298850574712643,0.2307692307692307,585.0,64.0
3727205,Madrid,98.0,4.59511985013459,Universidad,Centro,40.42126,-3.70305,0.5,1,1566,Entire rental unit,Apartment/condo,Entire home/apt,3,1.0,2.0,1.0,Standard,37,1,1,1,1,1,1,1,1,1,1,2025-09-15,2013-04-11,within an hour,1.0,0.99,1.0,1.0,4.0,1.0,1.0,32,90,1.0,0,0,10,17,879,84,5,86,2014-08-18,2025-09-08,4.74,4.82,4.76,4.76,4.89,4.92,4.77,1.0,1,1,0,0,6.52,4540.0,7.0,4039.0,1,30,0,365,17,348,0.9534246575342464,1.0,1.0,1.0,0.8152173913043478,0.934065934065934,1.0,1.0,0.8777777777777778,0.942528735632184,0.9807692307692308,879.0,46.0
34636625,Madrid,52.0,3.970291913552122,Palacio,Centro,40.41542,-3.71143,0.6639,1,1354,Private room in rental unit,Apartment/condo,Private room,3,1.0,2.0,1.0,Shared,31,1,0,1,0,1,1,1,1,1,0,2025-09-14,2016-03-27,within an hour,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2,1125,1.0,0,0,8,204,519,83,3,42,2019-05-19,2025-08-29,4.92,4.93,4.94,4.98,4.97,4.98,4.91,1.0,2,0,2,0,6.74,3458.0,16.0,2294.0,1,2,0,365,204,161,0.4410958904109589,0.5111111111111111,0.2527472527472527,0.1847826086956521,0.8152173913043478,0.8351648351648352,0.3804347826086957,0.0543478260869565,0.5,0.4230769230769231,0.4857142857142857,519.0,48.0
915126443963129861,Madrid,86.0,4.465908118654584,Sol,Centro,40.41675110871772,-3.7031903582621752,0.0519,1,994,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,1.0,1.0,Standard,35,1,1,1,1,1,1,0,1,1,0,2025-09-15,2020-05-15,within an hour,0.97,0.99,0.0,904.0,966.0,1.0,1.0,31,330,1.0,12,42,72,346,1,0,0,1,2024-07-31,2024-07-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,384,384,0,0,0.07,1949.0,411.0,0.0,1,30,1,365,346,19,0.0520547945205479,0.0,0.0,0.1847826086956521,0.0217391304347826,0.2087912087912088,0.0,0.0,0.0,0.057471264367816,0.0384615384615384,1.0,0.0
38379381,Madrid,81.0,4.406719247264253,Sol,Centro,40.41734,-3.70425,0.0711,1,994,Private room in rental unit,Apartment/condo,Private room,1,0.0,1.0,1.0,Shared,7,1,1,0,1,0,0,0,0,1,0,2025-09-15,2018-10-16,,,,0.0,5.0,5.0,1.0,1.0,50,1125,1.0,29,59,89,89,1,0,0,0,2019-10-07,2019-10-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5,0,5,0,0.01,2526.0,2170.0,0.0,1,30,1,365,89,276,0.7561643835616438,1.0,1.0,0.8369565217391305,0.1956521739130435,0.1648351648351648,1.0,1.0,0.8555555555555555,0.7547892720306514,0.7596153846153846,1.0,0.0
1457947947186849429,Madrid,69.0,4.248495242049359,Sol,Centro,40.41574,-3.70377,0.1179,1,994,Entire rental unit,Apartment/condo,Entire home/apt,2,1.0,2.0,1.0,Standard,25,1,0,1,0,0,1,0,1,0,0,2025-09-15,2024-06-01,within an hour,1.0,1.0,1.0,12.0,12.0,1.0,1.0,2,365,1.0,0,5,15,283,10,10,8,0,2025-08-11,2025-09-08,5.0,4.9,4.9,5.0,5.0,5.0,5.0,1.0,12,6,6,0,8.33,471.0,7.0,28.0,1,2,1,365,283,82,0.2246575342465753,0.0555555555555555,0.0,0.1956521739130435,0.6413043478260869,0.7582417582417582,0.0,0.0217391304347826,0.1222222222222222,0.2337164750957854,0.2019230769230769,10.0,10.0
